Map Key,Point Key,File,Layer,Marker,Stop Number,Is Direction Stop,Point Name,Longitude,Latitude,Altitude
11KDKd5yW71b-4T-YvRqPAsCh5MjU-PQQ,11KDKd5yW71b-4T-YvRqPAsCh5MjU-PQQ-P38,2025.EIS.000087.kmz,"Directions from Nambihin Rasta, Bangladesh to F7QG+VFR, Kochuyarpar, Bangladesh",B,2,TRUE,"Green Textile Limited (GTL), EPIC Group, Z3037",90.3383288,24.4457461,0
11KDKd5yW71b-4T-YvRqPAsCh5MjU-PQQ,11KDKd5yW71b-4T-YvRqPAsCh5MjU-PQQ-P39,2025.EIS.000087.kmz,"Directions from Nambihin Rasta, Bangladesh to F7QG+VFR, Kochuyarpar, Bangladesh",C,3,TRUE,"F7QG+VFR, Kochuyarpar, Bangladesh",90.2763436,24.4901884,0
11ru-eoLZYOQQO26lFijc__UgPtvw4e9s,11ru-eoLZYOQQO26lFijc__UgPtvw4e9s-P40,2025.EIS.000070.kmz,"Directions from S. B Knit Composite Ltd., Link Rd, Dhaka to 68 North Delpara, নারায়ণগঞ্জ, Bangladesh",A,1,TRUE,"S. B Knit Composite Ltd., Link Rd, Dhaka",90.4847982,23.6712161,0
11ru-eoLZYOQQO26lFijc__UgPtvw4e9s,11ru-eoLZYOQQO26lFijc__UgPtvw4e9s-P41,2025.EIS.000070.kmz,"Directions from S. B Knit Composite Ltd., Link Rd, Dhaka to 68 North Delpara, নারায়ণগঞ্জ, Bangladesh",B,2,TRUE,"MFFM+G4F, Narayanganj, Bangladesh",90.4832912,23.6742257,0
11ru-eoLZYOQQO26lFijc__UgPtvw4e9s,11ru-eoLZYOQQO26lFijc__UgPtvw4e9s-P42,2025.EIS.000070.kmz,"Directions from S. B Knit Composite Ltd., Link Rd, Dhaka to 68 North Delpara, নারায়ণগঞ্জ, Bangladesh",C,3,TRUE,"68 North Delpara, নারায়ণগঞ্জ, Bangladesh",90.4739849,23.6726641,0
12UP--l-KfscenL_PAn3FVzXYKvvI6e5e,12UP--l-KfscenL_PAn3FVzXYKvvI6e5e-P43,2025.EIS.000076.kmz,"Directions from Shirt And Jacket Zone Ltd, Gobindopur, Dhaka to VG4F+PC8, Bangladesh",A,1,TRUE,"Shirt And Jacket Zone Ltd, Gobindopur, Dhaka",90.4513561,23.8824956,0
12UP--l-KfscenL_PAn3FVzXYKvvI6e5e,12UP--l-KfscenL_PAn3FVzXYKvvI6e5e-P44,2025.EIS.000076.kmz,"Directions from Shirt And Jacket Zone Ltd, Gobindopur, Dhaka to VG4F+PC8, Bangladesh",B,2,TRUE,"Ulukhola Bus Stop, Dhaka City Bypass, Bangladesh",90.4815408,23.8983678,0
12UP--l-KfscenL_PAn3FVzXYKvvI6e5e,12UP--l-KfscenL_PAn3FVzXYKvvI6e5e-P45,2025.EIS.000076.kmz,"Directions from Shirt And Jacket Zone Ltd, Gobindopur, Dhaka to VG4F+PC8, Bangladesh",C,3,TRUE,"VG4F+PC8, Bangladesh",90.5236385,23.8571502,0
12jaZkYZ6ofKLzh4_2eDoBHqha3qiHEwD,12jaZkYZ6ofKLzh4_2eDoBHqha3qiHEwD-P46,impress fashion.kmz,"Directions from Impress Fashion Limited, Tejgaon I/A, Dhaka to PCJJ+QF3, Dhaka, Bangladesh",A,1,TRUE,"Impress Fashion Limited, Tejgaon I/A, Dhaka",90.4021033,23.7698702,0
12jaZkYZ6ofKLzh4_2eDoBHqha3qiHEwD,12jaZkYZ6ofKLzh4_2eDoBHqha3qiHEwD-P47,impress fashion.kmz,"Directions from Impress Fashion Limited, Tejgaon I/A, Dhaka to PCJJ+QF3, Dhaka, Bangladesh",B,2,TRUE,"PCJH+R98, Dhaka, Bangladesh",90.4285287,23.7320953,0
12jaZkYZ6ofKLzh4_2eDoBHqha3qiHEwD,12jaZkYZ6ofKLzh4_2eDoBHqha3qiHEwD-P48,impress fashion.kmz,"Directions from Impress Fashion Limited, Tejgaon I/A, Dhaka to PCJJ+QF3, Dhaka, Bangladesh",C,3,TRUE,"PCJJ+QF3, Dhaka, Bangladesh",90.4312158,23.7318596,0
13UHb9wfTadqZkgCxBDD81_kioextAhxh,13UHb9wfTadqZkgCxBDD81_kioextAhxh-P49,2026.EIS.000130.kmz,"Directions from Pandora Sweaters Ltd., Gilar Chala Rd, Mawna to Gorgoria Master Bari, Dhaka - Mymensingh Rd, Mawna, Bangladesh",A,1,TRUE,"Pandora Sweaters Ltd., Gilar Chala Rd, Mawna",90.4243572,24.1875206,0
13UHb9wfTadqZkgCxBDD81_kioextAhxh,13UHb9wfTadqZkgCxBDD81_kioextAhxh-P50,2026.EIS.000130.kmz,"Directions from Pandora Sweaters Ltd., Gilar Chala Rd, Mawna to Gorgoria Master Bari, Dhaka - Mymensingh Rd, Mawna, Bangladesh",B,2,TRUE,"Gorgoria Master Bari Bazar Bus Stand, Dhaka - Mymensingh Road, Mawna",90.4265374,24.1878994,0
13UHb9wfTadqZkgCxBDD81_kioextAhxh,13UHb9wfTadqZkgCxBDD81_kioextAhxh-P51,2026.EIS.000130.kmz,"Directions from Pandora Sweaters Ltd., Gilar Chala Rd, Mawna to Gorgoria Master Bari, Dhaka - Mymensingh Rd, Mawna, Bangladesh",C,3,TRUE,"Gorgoria Master Bari, Dhaka - Mymensingh Rd, Mawna, Bangladesh",90.4272157,24.187803,0
14UBKiRgSnGf7P6ovRZ74OMNEsRaDT8pI,14UBKiRgSnGf7P6ovRZ74OMNEsRaDT8pI-P52,2025.EIS.000085.kmz,"Directions from Unimas Sportswear Limited, Bagbari to W7M5+GHC, Savar, Bangladesh",A,1,TRUE,"Unimas Sportswear Limited, Bagbari",90.3131367,23.9564056,0
14UBKiRgSnGf7P6ovRZ74OMNEsRaDT8pI,14UBKiRgSnGf7P6ovRZ74OMNEsRaDT8pI-P53,2025.EIS.000085.kmz,"Directions from Unimas Sportswear Limited, Bagbari to W7M5+GHC, Savar, Bangladesh",B,2,TRUE,"3 B1002, Baipayl, Bangladesh",90.2915451,23.9380488,0
14UBKiRgSnGf7P6ovRZ74OMNEsRaDT8pI,14UBKiRgSnGf7P6ovRZ74OMNEsRaDT8pI-P54,2025.EIS.000085.kmz,"Directions from Unimas Sportswear Limited, Bagbari to W7M5+GHC, Savar, Bangladesh",C,3,TRUE,"W7M5+GHC, Savar, Bangladesh",90.2586839,23.9337572,0
14URUK7xIssNQ9llBqYJ0dqtF0MUcNN8E,14URUK7xIssNQ9llBqYJ0dqtF0MUcNN8E-P55,2025.EIS.000083.kmz,"Directions from Tanzila Textile Ltd., Nabinagar - Chandra Road, Dhaka to 26GG+Q6R, জালসুকা রোড, Bangladesh",A,1,TRUE,"Tanzila Textile Ltd., Nabinagar - Chandra Road, Dhaka",90.2432112,24.0183548,0
